Protein,Gene,Transcript,SignalP,TargetP,TMHMM,PredGPI,WoLF.PSORT,SecretomeP,Uniprot
ENSP00000336987,ENSG00000164112,ENST00000337677,0.599,0.81,PredHel=0,0.240174,extr 29,0.926,Q4W5P6
ENSP00000336792,ENSG00000127241,ENST00000337774,0.808,0.918,PredHel=0,0.202782,"extr 24, mito 3, E.R. 2.5, E.R._golg 2",0.699,P48740
ENSP00000337128,ENSG00000124205,ENST00000337938,0.806,0.861,PredHel=0,0.972969,"extr 23, cyto_pero 3.5, cyto 2.5, nucl 2, mit",0.848,P14138
ENSP00000341128,ENSG00000079101,ENST00000338387,0.856,0.943,PredHel=0,0.338979,"extr 28, lyso 3",0.567,Q15846
ENSP00000344829,ENSG00000115828,ENST00000338415,0.832,0.843,PredHel=0,0.922987,"extr 21, E.R. 5, lyso 3, golg 3",0.725,Q16769
ENSP00000343577,ENSG00000172236,ENST00000338844,0.871,0.934,PredHel=0,0.216123,"extr 28, lyso 2",0.896,Q15661
ENSP00000339251,ENSG00000188508,ENST00000338897,0.904,0.975,PredHel=0,0.643243,"extr 27, E.R. 3",0.952,P60985
ENSP00000340864,ENSG00000173918,ENST00000339142,0.88,0.963,PredHel=1,0.875078,"extr 25, lyso 4",0.721,Q9BXJ1
ENSP00000345768,ENSG00000180483,ENST00000339144,0.798,0.954,PredHel=0,0.984002,extr 29,0.95,Q8N690
ENSP00000341013,ENSG00000187689,ENST00000339336,0.653,0.715,PredHel=0,0.538651,"mito 18, extr 13",0.944,Q6UX39
ENSP00000340935,ENSG00000152592,ENST00000339673,0.918,0.929,PredHel=0,0.0953457,"extr 27, E.R. 2, lyso 2",0.167,Q13316
ENSP00000342012,ENSG00000161249,ENST00000339686,0.879,0.938,PredHel=0,0.699829,"extr 22, nucl 3, cyto 3, cyto_nucl 3, lyso 3",0.689,Q6E0U4
ENSP00000340215,ENSG00000101443,ENST00000339946,0.771,0.969,PredHel=1,0.178925,extr 32,0.934,Q14508
ENSP00000341051,ENSG00000140839,ENST00000339953,0.881,0.972,PredHel=0,0.411573,"extr 27, cyto_pero 3",0.761,Q6UXF7
ENSP00000344192,ENSG00000112115,ENST00000340057,0.88,0.961,PredHel=0,0.118094,"extr 21, mito 4, lyso 4",0.867,Q16552
ENSP00000339328,ENSG00000011422,ENST00000340093,0.876,0.94,PredHel=0,1.14E-09,"extr 28, lyso 2",0.76,Q03405
ENSP00000345968,ENSG00000161031,ENST00000340880,0.893,0.992,PredHel=0,0.932607,"extr 24, lyso 5",0.694,Q96PD5
ENSP00000345289,ENSG00000110400,ENST00000340882,0.892,0.857,PredHel=1,0.399318,"extr 14, mito 11, pero 4",0.798,Q15223
ENSP00000342212,ENSG00000077942,ENST00000340923,0.869,0.961,PredHel=0,0.416592,"extr 28.5, extr_plas 15",0.776,P23142
ENSP00000344860,ENSG00000188624,ENST00000341415,0.838,0.932,PredHel=0,0.642245,extr 31,0.92,Q6UXB1
ENSP00000341353,ENSG00000100802,ENST00000341470,0.375,0.165,PredHel=0,0.492445,"nucl 19, cyto_nucl 15, cyto 7, extr 4",0.909,Q9H972
ENSP00000342570,ENSG00000188056,ENST00000341495,0.544,0.751,PredHel=0,4.19E-07,"extr 14.5, extr_plas 11, plas 6.5, E.R._mito ",0.534,Q6UXN2
ENSP00000345008,ENSG00000140092,ENST00000342058,0.823,0.871,PredHel=0,0.73467,"extr 25, lyso 5",0.82,Q9UBX5
ENSP00000341490,ENSG00000100593,ENST00000342219,0.919,0.872,PredHel=1,0.823913,"extr 17, E.R._golg 6.5, golg 6, E.R. 5, lyso ",0.594,Q6H9L7
ENSP00000340328,ENSG00000188937,ENST00000342595,0.848,0.852,PredHel=1,0.134395,"extr 26, lyso 5",0.492,Q9GZU5
ENSP00000342254,ENSG00000189227,ENST00000342683,0.372,0.035,PredHel=0,0.960234,"extr 13, mito 7, cyto 6, nucl 4, E.R._mito 4,",0.918,A6NNL5
ENSP00000344458,ENSG00000126231,ENST00000342783,0.669,0.893,PredHel=0,0.0456498,"extr 21, cyto_pero 4, cyto 3.5, pero 3.5, lys",0.72,P22891
ENSP00000344545,ENSG00000188076,ENST00000342878,0.887,0.947,PredHel=0,0.0938152,extr 32,0.911,Q8TD33
ENSP00000345487,ENSG00000188710,ENST00000343079,0.604,0.99,PredHel=0,0.307567,"extr 28, pero 3",0.94,P83859
ENSP00000340998,ENSG00000074527,ENST00000343702,0.807,0.889,PredHel=1,0.0391069,"extr 22, golg 3.5, pero 3, E.R._golg 3, E.R. ",0.37,Q9HB63
ENSP00000341640,ENSG00000092758,ENST00000343916,0.911,0.965,PredHel=0,0.744883,"extr 16, E.R. 12, lyso 2",0.078,Q14050
ENSP00000344758,ENSG00000106823,ENST00000344604,0.815,0.968,PredHel=0,0.44019,"extr 22, E.R. 4, pero 3.5, cyto_pero 2.5",0.316,O94769
ENSP00000341141,ENSG00000088827,ENST00000344754,0.881,0.94,PredHel=1,0.940969,"extr 14.5, extr_plas 11, pero 7, plas 4.5, cy",0.572,Q9BZZ2
ENSP00000340870,ENSG00000073008,ENST00000344956,0.934,0.965,PredHel=0,0.699506,"extr 24, lyso 5",0.79,P15151
ENSP00000342070,ENSG00000164733,ENST00000345125,0.841,0.894,PredHel=0,0.218227,"extr 25, lyso 7",0.723,P07858
ENSP00000308396,ENSG00000213218,ENST00000345366,0.82,0.896,PredHel=0,0.908015,extr 32,0.935,P0DML3
ENSP00000304207,ENSG00000145113,ENST00000346145,0.808,0.942,PredHel=1,0.826644,"extr 14.5, extr_plas 11.5, plas 7.5, E.R. 3, ",0.565,Q99102
ENSP00000329546,ENSG00000057593,ENST00000346342,0.943,0.917,PredHel=0,0.377713,"extr 20, extr_plas 13.5, plas 5, lyso 5",0.586,P08709
ENSP00000289574,ENSG00000006128,ENST00000346867,0.882,0.928,PredHel=0,0.221245,extr 32,0.947,P20366
ENSP00000344907,ENSG00000125823,ENST00000347397,0.728,0.919,PredHel=0,0.599353,extr 31,0.966,Q9H114
ENSP00000341555,ENSG00000129455,ENST00000347619,0.913,0.914,PredHel=0,0.2758,"extr 22, mito 6, cyto_mito 6",0.803,O60259
ENSP00000314451,ENSG00000215788,ENST00000348333,0.838,0.84,PredHel=1,0.317835,"extr 19, plas 11",0.834,Q93038
ENSP00000335384,ENSG00000186075,ENST00000348931,0.811,0.931,PredHel=0,0.143365,"extr 28, lyso 3",0.64,Q6X784
ENSP00000334036,ENSG00000090539,ENST00000348986,0.837,0.894,PredHel=0,0.527497,"extr 28, lyso 4",0.3,Q9H2X0
ENSP00000296979,ENSG00000164485,ENST00000349184,0.884,0.926,PredHel=0,0.318312,"extr 27, pero 4",0.894,Q969J5
ENSP00000340592,ENSG00000172116,ENST00000349455,0.78,0.945,PredHel=0,0.939863,"extr 19, mito 8.5, mito_nucl 5.5, pero 2",0.934,P10966
ENSP00000294798,ENSG00000132185,ENST00000349527,0.815,0.991,PredHel=1,0.719084,"extr 24, plas 3, lyso 3",0.694,Q7L513
ENSP00000325190,ENSG00000113520,ENST00000350025,0.667,0.942,PredHel=0,0.442348,"extr 28, cyto 3",0.933,P05112
ENSP00000291741,ENSG00000160339,ENST00000350339,0.873,0.964,PredHel=1,0.106583,"extr 23, plas 6",0.934,Q15485
ENSP00000289576,ENSG00000006128,ENST00000350485,0.882,0.953,PredHel=0,0.208573,extr 32,0.959,P20366
ENSP00000265131,ENSG00000041982,ENST00000350763,0.837,0.897,PredHel=1,0.161926,"extr 26, lyso 3",0.48,P24821
ENSP00000339730,ENSG00000113296,ENST00000350881,0.813,0.92,PredHel=0,0.232303,"extr 21, mito 4, pero 4, mito_pero 4",0.486,P35443
ENSP00000297496,ENSG00000178287,ENST00000351436,0.866,0.914,PredHel=0,0.83729,extr 29,0.914,Q6PDA7
ENSP00000340210,ENSG00000085063,ENST00000351554,0.879,0.954,PredHel=0,7.41E-07,extr 29,0.958,P13987
ENSP00000326762,ENSG00000215788,ENST00000351748,0.837,0.893,PredHel=0,0.383142,extr 31,0.912,Q93038
ENSP00000301203,ENSG00000167618,ENST00000351841,0.804,0.948,PredHel=0,0.96186,extr 32,0.96,Q6ISS4
ENSP00000340461,ENSG00000176358,ENST00000352793,0.842,0.969,PredHel=0,0.131257,"extr 23, plas 5, mito 2, lyso 2",0.952,Q86UU9
ENSP00000345672,ENSG00000164733,ENST00000353047,0.841,0.894,PredHel=0,0.218227,"extr 25, lyso 7",0.723,P07858
ENSP00000295618,ENSG00000163421,ENST00000353065,0.793,0.96,PredHel=0,0.185701,extr 32,0.941,Q9HC23
ENSP00000330463,ENSG00000126091,ENST00000353126,0.212,0.983,PredHel=1,0.338229,"extr 28, lyso 4",0.902,Q11203
ENSP00000315873,ENSG00000163359,ENST00000353578,0.87,0.956,PredHel=0,0.454524,"extr 16, mito 4, pero 3, cyto_mito 3, E.R._go",0.362,P12111
ENSP00000278959,ENSG00000149582,ENST00000354064,0.618,0.91,PredHel=0,0.0198575,"extr 25, cyto 2.5, mito 2, cyto_nucl 2, lyso ",0.886,Q86YD3
ENSP00000346133,ENSG00000182853,ENST00000354194,0.828,0.897,PredHel=0,0.327423,"extr 26, mito 3",0.892,Q7Z5L0
ENSP00000346158,ENSG00000134193,ENST00000354219,0.868,0.864,PredHel=0,0.407745,extr 29,0.918,Q9BYZ8
ENSP00000346478,ENSG00000197859,ENST00000354484,0.937,0.958,PredHel=0,0.124025,"extr 20, nucl 5, cyto 5, cyto_pero 4",0.552,Q86TH1
ENSP00000347041,ENSG00000122176,ENST00000354955,0.911,0.955,PredHel=0,0.6606,"extr 28, lyso 3",0.856,Q06828
ENSP00000347484,ENSG00000187720,ENST00000355327,0.868,0.82,PredHel=0,0.950102,"extr 26, lyso 3, E.R. 2.5",0.605,Q6ZMP0
ENSP00000347596,ENSG00000115380,ENST00000355426,0.848,0.927,PredHel=0,0.00679136,"extr 28, lyso 4",0.74,Q12805
ENSP00000347606,ENSG00000198223,ENST00000355432,0.661,0.914,PredHel=0,0.00432379,"extr 17, nucl 5, cyto 4, mito_nucl 4",0.696,P15509
ENSP00000347665,ENSG00000182871,ENST00000355480,0.928,0.981,PredHel=0,0.424789,"extr 21, lyso 10",0.13,P39060
ENSP00000348058,ENSG00000198223,ENST00000355805,0.661,0.914,PredHel=0,0.181309,"extr 26, nucl 3",0.94,P15509
ENSP00000348068,ENSG00000197249,ENST00000355814,0.916,0.959,PredHel=0,0.0542112,"extr 17, E.R. 10, plas 4",0.743,P01009
ENSP00000348170,ENSG00000257017,ENST00000355906,0.879,0.96,PredHel=0,0.0660046,"extr 27, E.R. 3",0.65,P00738
ENSP00000348384,ENSG00000196878,ENST00000356082,0.826,0.826,PredHel=0,0.597192,"extr 24, lyso 4, pero 2",0.396,Q13751
ENSP00000348425,ENSG00000166035,ENST00000356113,0.831,0.92,PredHel=0,0.171756,"extr 17, E.R. 7, plas 3, nucl 2, pero 1.5, cy",0.684,P11150
ENSP00000348918,ENSG00000173432,ENST00000356524,0.817,0.901,PredHel=0,0.463185,extr 31,0.902,P0DJI8
ENSP00000349341,ENSG00000215788,ENST00000356876,0.842,0.902,PredHel=1,0.303778,"extr 19, plas 9, E.R. 2, lyso 2",0.675,Q93038
ENSP00000349365,ENSG00000197272,ENST00000356897,0.877,0.937,PredHel=1,0.992695,"extr 27, pero 3",0.809,Q8NEV9
ENSP00000349493,ENSG00000197273,ENST00000357001,0.845,0.946,PredHel=1,0.618567,extr 32,0.946,Q02747
ENSP00000349757,ENSG00000182218,ENST00000357223,0.82,0.835,PredHel=0,0.240696,"extr 24, lyso 3, pero 2, cyto_mito 2",0.701,Q96JK4
ENSP00000349884,ENSG00000197487,ENST00000357330,0.846,0.963,PredHel=0,0.0173748,extr 30,0.962,Q9UBC7
ENSP00000349954,ENSG00000104827,ENST00000357383,0.919,0.942,PredHel=0,0.785311,"extr 27, cyto_pero 3",0.486,P01233
ENSP00000350413,ENSG00000187720,ENST00000357769,0.824,0.926,PredHel=0,0.926428,"extr 25, E.R. 2, lyso 2",0.597,Q6ZMP0
ENSP00000350425,ENSG00000110244,ENST00000357780,0.846,0.955,PredHel=0,0.369521,"extr 25, E.R. 6",0.5,P06727
ENSP00000350630,ENSG00000095587,ENST00000357947,0.808,0.92,PredHel=0,0.163187,"extr 25, lyso 3, E.R. 2",0.49,Q9Y6L7
ENSP00000351043,ENSG00000219438,ENST00000358295,0.535,0.989,PredHel=1,0.824447,extr 32,0.961,Q7Z5A7
ENSP00000351640,ENSG00000129451,ENST00000358789,0.688,0.658,PredHel=0,0.68277,"extr 20, cyto 5, mito 5, cyto_mito 5",0.911,O43240
ENSP00000351671,ENSG00000115009,ENST00000358813,0.88,0.964,PredHel=0,0.0276446,extr 32,0.918,P78556
ENSP00000351695,ENSG00000187021,ENST00000358834,0.903,0.942,PredHel=0,0.908277,"extr 21, cyto 5.5, cyto_nucl 5.5, nucl 2.5",0.689,P54315
ENSP00000351946,ENSG00000186792,ENST00000359051,0.687,0.869,PredHel=0,0.0358546,"extr 24, cyto_pero 3, nucl 2, mito 2, mito_nu",0.93,O43820
ENSP00000352003,ENSG00000125787,ENST00000359100,0.904,0.822,PredHel=0,0.935008,"extr 28, mito 2",0.837,O43555
ENSP00000352414,ENSG00000158815,ENST00000359441,0.847,0.938,PredHel=0,0.556303,"extr 25, pero 2, lyso 2",0.744,O60258
ENSP00000352455,ENSG00000197614,ENST00000359478,0.644,0.96,PredHel=0,0.825484,extr 32,0.959,Q13361
ENSP00000352606,ENSG00000140511,ENST00000359595,0.908,0.95,PredHel=0,0.696744,"extr 24, E.R. 4, plas 3",0.792,Q96S86
ENSP00000352639,ENSG00000142615,ENST00000359621,0.738,0.912,PredHel=0,0.0382131,"extr 28, mito 3",0.75,P08217
ENSP00000352798,ENSG00000182871,ENST00000359759,0.928,0.981,PredHel=0,0.442971,"extr 23, E.R. 4, lyso 2, E.R._mito 2",0.127,P39060
ENSP00000352924,ENSG00000149582,ENST00000359862,0.763,0.904,PredHel=0,0.0219174,"extr 20, lyso 5, cyto_nucl 3.5, nucl 3, cyto ",0.695,Q86YD3
ENSP00000353198,ENSG00000131096,ENST00000360085,0.907,0.975,PredHel=1,0.724296,"extr 27, pero 2, lyso 2",0.838,P10082
ENSP00000353819,ENSG00000124159,ENST00000360607,0.813,0.968,PredHel=0,0.988978,"extr 27, pero 2",0.749,O95460
ENSP00000354193,ENSG00000002726,ENST00000360937,0.848,0.942,PredHel=0,0.252061,"extr 19, cyto 3, lyso 3, cyto_pero 3, nucl 2,",0.704,P19801
ENSP00000354286,ENSG00000110680,ENST00000361010,0.855,0.924,PredHel=0,0.939222,extr 32,0.923,P06881
ENSP00000354341,ENSG00000152595,ENST00000361056,0.914,0.88,PredHel=0,0.475655,"extr 26, lyso 2, E.R. 1.5, E.R._golg 1.5",0.255,Q9NQ76
ENSP00000354458,ENSG00000157131,ENST00000361249,0.845,0.816,PredHel=0,0.297486,"extr 24, plas 2, E.R. 2, cyto 1.5, E.R._mito ",0.658,P07357
ENSP00000355126,ENSG00000198759,ENST00000361306,0.758,0.92,PredHel=0,0.0013415,"extr 25, E.R. 3.5, E.R._golg 2.5",0.6,Q8IUX8
ENSP00000354677,ENSG00000116157,ENST00000361314,0.906,0.964,PredHel=0,0.15494,"extr 28, E.R. 2, lyso 2",0.877,Q96SL4
ENSP00000354610,ENSG00000240038,ENST00000361355,0.901,0.881,PredHel=0,0.24177,"extr 15, pero 6, mito 5, lyso 3, E.R._mito 3,",0.717,P19961
ENSP00000355163,ENSG00000049247,ENST00000361696,0.772,0.935,PredHel=0,0.144924,extr 32,0.918,O95399
ENSP00000354816,ENSG00000136689,ENST00000361779,0.115,0.045,PredHel=0,0.662984,"extr 18, cyto 10, cyto_nucl 9, extr_plas 9",0.909,P18510
ENSP00000355201,ENSG00000126091,ENST00000361812,0.234,0.982,PredHel=1,0.718722,extr 29,0.949,Q11203
ENSP00000355042,ENSG00000184599,ENST00000361886,0.908,0.982,PredHel=1,0.158993,extr 31,0.954,Q7Z5A8
ENSP00000355529,ENSG00000116996,ENST00000366570,0.835,0.935,PredHel=1,0.919611,"extr 14.5, extr_plas 14.5, plas 11.5, golg 2.",0.611,Q12836
ENSP00000355719,ENSG00000185888,ENST00000366757,0.88,0.932,PredHel=0,9.65E-09,"extr 27, lyso 2",0.764,A1L453
ENSP00000355785,ENSG00000143768,ENST00000366820,0.925,0.987,PredHel=0,0.757553,"extr 16, nucl 5, mito 4, cyto_nucl 4, lyso 4",0.594,O00292
ENSP00000355896,ENSG00000092969,ENST00000366929,0.922,0.972,PredHel=1,0.281317,extr 30,0.937,P61812
ENSP00000355897,ENSG00000092969,ENST00000366930,0.922,0.972,PredHel=1,0.312847,extr 30,0.912,P61812
ENSP00000355997,ENSG00000196878,ENST00000367030,0.826,0.826,PredHel=0,0.597192,"extr 24, lyso 4, pero 2",0.396,Q13751
ENSP00000356031,ENSG00000196352,ENST00000367064,0.851,0.953,PredHel=0,2.11E-09,"extr 27, extr_plas 15",0.213,P08174
ENSP00000356043,ENSG00000123843,ENST00000367076,0.876,0.902,PredHel=0,0.654594,"extr 28, cyto 2, lyso 2",0.51,P20851
ENSP00000356045,ENSG00000123843,ENST00000367078,0.869,0.91,PredHel=0,0.576971,"extr 28, cyto 2, lyso 2",0.528,P20851
ENSP00000356060,ENSG00000162892,ENST00000367093,0.401,0.468,PredHel=0,0.962333,"mito 23, plas 4, cyto 2, extr_plas 2, cysk_pl",0.935,Q13007
ENSP00000356212,ENSG00000146469,ENST00000367243,0.878,0.844,PredHel=1,0.746702,extr 32,0.954,P01282
ENSP00000356213,ENSG00000146469,ENST00000367244,0.878,0.842,PredHel=1,0.745327,extr 32,0.957,P01282
ENSP00000356330,ENSG00000203722,ENST00000367361,0.899,0.948,PredHel=0,0.50057,"extr 20.5, extr_plas 12, mito 3, plas 2.5, cy",0.904,Q6H3X3
ENSP00000356385,ENSG00000080910,ENST00000367415,0.837,0.89,PredHel=0,0.296841,"extr 27, lyso 3",0.808,P36980
ENSP00000356391,ENSG00000080910,ENST00000367421,0.837,0.89,PredHel=0,0.296841,"extr 27, lyso 3",0.808,P36980
ENSP00000356399,ENSG00000000971,ENST00000367429,0.911,0.96,PredHel=0,0.534143,"extr 19.5, extr_plas 10.5, E.R. 9.5, E.R._gol",0.45,P08603
ENSP00000356453,ENSG00000116690,ENST00000367483,0.904,0.957,PredHel=0,0.845851,"extr 18, E.R. 11.5, E.R._golg 6.5",0.29,Q92954
ENSP00000356455,ENSG00000116690,ENST00000367485,0.907,0.965,PredHel=0,0.850855,"extr 19, E.R. 9, E.R._golg 6",0.291,Q92954
ENSP00000356572,ENSG00000116260,ENST00000367600,0.927,0.962,PredHel=0,0.795716,"extr 14, lyso 9, pero 3, cyto_mito 2.5, mito ",0.65,O00391
ENSP00000356633,ENSG00000116183,ENST00000367661,0.862,0.963,PredHel=0,0.00552467,"extr 23, E.R. 4.5, E.R._golg 3.5, lyso 2",0.416,Q9BXP8
ENSP00000356634,ENSG00000116183,ENST00000367662,0.862,0.963,PredHel=0,0.310929,"extr 20, plas 5, E.R._golg 2.5, cysk_plas 2.5",0.44,Q9BXP8
ENSP00000356694,ENSG00000117560,ENST00000367721,0.107,0.25,PredHel=1,0.997587,"plas 12, extr_plas 9, nucl 6, mito 5, extr 4,",0.954,P48023
ENSP00000356791,ENSG00000143196,ENST00000367817,0.892,0.983,PredHel=0,0.190885,"extr 28, nucl 2, cyto 2, cyto_nucl 2",0.942,Q07507
ENSP00000356792,ENSG00000143184,ENST00000367818,0.757,0.906,PredHel=0,0.960022,extr 31,0.924,P47992
ENSP00000356793,ENSG00000143185,ENST00000367819,0.748,0.882,PredHel=0,0.962821,extr 31,0.922,Q9UBD3
ENSP00000356930,ENSG00000132185,ENST00000367953,0.832,0.991,PredHel=1,0.743089,"extr 22, plas 4, pero 3, lyso 3",0.64,Q7L513
ENSP00000356941,ENSG00000162747,ENST00000367964,0.718,0.959,PredHel=1,0.000115503,"extr 27, extr_plas 15",0.768,O75015
ENSP00000356991,ENSG00000143217,ENST00000368012,0.875,0.981,PredHel=1,0.248995,"extr 17, plas 4, E.R. 4, pero 2.5, mito_pero ",0.221,Q96NY8
ENSP00000357255,ENSG00000242252,ENST00000368272,0.888,0.93,PredHel=0,0.816456,extr 32,0.964,P02818
ENSP00000357391,ENSG00000169242,ENST00000368406,0.766,0.893,PredHel=0,3.19E-09,"extr 15, mito_pero 7, mito 6, E.R._mito 5.5, ",0.8,P20827
ENSP00000357392,ENSG00000169242,ENST00000368407,0.766,0.893,PredHel=0,2.67E-09,"extr 14, mito_pero 7.5, mito 7, E.R._mito 6, ",0.789,P20827
ENSP00000357665,ENSG00000148848,ENST00000368676,0.818,0.907,PredHel=0,0.673404,"extr 28, E.R. 1.5, E.R._golg 1.5",0.392,O43184
ENSP00000357980,ENSG00000166033,ENST00000368984,0.936,0.828,PredHel=0,0.172429,"extr 14, E.R. 8, lyso 6, pero 3",0.681,Q92743
ENSP00000358034,ENSG00000143382,ENST00000369038,0.917,0.975,PredHel=0,0.967152,"extr 26, lyso 3",0.57,Q6UY14
ENSP00000358035,ENSG00000143382,ENST00000369039,0.917,0.975,PredHel=0,0.96811,"extr 26, lyso 3",0.598,Q6UY14
ENSP00000358037,ENSG00000143382,ENST00000369041,0.917,0.975,PredHel=0,0.976076,"extr 25, lyso 5",0.624,Q6UY14
ENSP00000358095,ENSG00000118292,ENST00000369099,0.685,0.887,PredHel=0,0.000475044,"extr 24, E.R. 5",0.919,Q8WWF1
ENSP00000358098,ENSG00000118292,ENST00000369102,0.685,0.887,PredHel=0,0.000475044,"extr 24, E.R. 5",0.919,Q8WWF1
ENSP00000358223,ENSG00000175535,ENST00000369221,0.869,0.921,PredHel=0,0.476599,"extr 20, mito 4, lyso 4, pero 3, cyto_pero 3",0.702,P16233
ENSP00000358232,ENSG00000203837,ENST00000369230,0.81,0.819,PredHel=0,0.880472,"extr 22, lyso 5, pero 3, cyto_pero 3",0.651,Q17RR3
ENSP00000358430,ENSG00000119913,ENST00000369422,0.817,0.868,PredHel=0,0.000390826,"extr 26, mito 2, lyso 2",0.783,Q96PL2
ENSP00000358431,ENSG00000124334,ENST00000369423,0.133,0.09,PredHel=1,0.828327,plas 32,0.915,Q01113
ENSP00000358525,ENSG00000134259,ENST00000369512,0.801,0.968,PredHel=0,0.359293,"extr 25, lyso 3, nucl 1.5, cyto_nucl 1.5",0.806,P01138
ENSP00000358644,ENSG00000184599,ENST00000369630,0.908,0.973,PredHel=1,0.791407,"extr 28, nucl 2",0.867,Q7Z5A8
ENSP00000358714,ENSG00000146250,ENST00000369700,0.693,0.946,PredHel=0,0.135341,"nucl 16, cyto_nucl 14.5, cyto 11, pero 3",0.906,Q8N3Z0
ENSP00000359034,ENSG00000143107,ENST00000370017,0.802,0.905,PredHel=0,0.225687,"extr 28, E.R. 2",0.69,Q5VTL7
ENSP00000359096,ENSG00000187733,ENST00000370079,0.907,0.901,PredHel=0,0.298855,"extr 17, mito 9, pero 4",0.734,P04745
ENSP00000359097,ENSG00000174876,ENST00000370080,0.907,0.901,PredHel=0,0.298855,"extr 17, mito 9, pero 4",0.734,P04745
ENSP00000359100,ENSG00000237763,ENST00000370083,0.907,0.901,PredHel=0,0.298855,"extr 17, mito 9, pero 4",0.734,P04745
ENSP00000359540,ENSG00000143162,ENST00000370509,0.86,0.899,PredHel=1,0.499119,"extr 26, lyso 3, golg 3",0.903,O75629
ENSP00000359623,ENSG00000095713,ENST00000370591,0.881,0.946,PredHel=0,9.99E-07,"extr 24, lyso 8",0.643,Q9NQ79
ENSP00000359629,ENSG00000095713,ENST00000370597,0.881,0.946,PredHel=0,0.179929,"extr 23, lyso 8",0.602,Q9NQ79
ENSP00000359855,ENSG00000124749,ENST00000370819,0.926,0.961,PredHel=0,0.414867,"extr 20, E.R. 5, plas 2, mito 2, lyso 2",0.118,Q96P44
ENSP00000360067,ENSG00000124205,ENST00000371028,0.806,0.861,PredHel=0,0.972969,"extr 23, cyto_pero 3.5, cyto 2.5, nucl 2, mit",0.848,P14138
ENSP00000360381,ENSG00000157211,ENST00000371330,0.813,0.976,PredHel=0,0.840956,"extr 24, plas 5",0.58,Q5VXM1
ENSP00000360519,ENSG00000138207,ENST00000371464,0.923,0.928,PredHel=0,0.691446,"extr 25, pero 3, mito 2",0.817,P02753
ENSP00000360522,ENSG00000138207,ENST00000371467,0.923,0.928,PredHel=0,0.691446,"extr 25, pero 3, mito 2",0.817,P02753
ENSP00000360687,ENSG00000107317,ENST00000371625,0.827,0.945,PredHel=0,0.489691,"extr 25, lyso 3, cyto_pero 2.5",0.703,P41222
ENSP00000360696,ENSG00000184925,ENST00000371633,0.95,0.975,PredHel=0,0.876781,"extr 23, cyto 3, mito 3, pero 3, cyto_mito 3,",0.959,Q6JVE5
ENSP00000360753,ENSG00000204001,ENST00000371688,0.119,0.045,PredHel=0,0.979571,"cyto 16.5, cyto_nucl 11, cysk 8, nucl 4.5",0.931,Q6JVE9
ENSP00000360846,ENSG00000160349,ENST00000371781,0.812,0.951,PredHel=0,0.804216,extr 31,0.958,P31025
ENSP00000360871,ENSG00000085265,ENST00000371806,0.815,0.955,PredHel=0,0.0924113,"extr 28, E.R. 2",0.535,O00602
ENSP00000361148,ENSG00000112715,ENST00000372077,0.859,0.945,PredHel=0,0.412731,"extr 23, cyto 5, mito 2",0.882,P15692
ENSP00000361290,ENSG00000197565,ENST00000372216,0.875,0.954,PredHel=0,0.828214,"extr 18, lyso 3, nucl 2.5, plas 2, mito 2, E.",0.069,Q14031
ENSP00000361337,ENSG00000189129,ENST00000372263,0.734,0.793,PredHel=0,0.355955,extr 29,0.925,Q5JTB6
ENSP00000361359,ENSG00000101017,ENST00000372285,0.81,0.896,PredHel=1,0.38124,"extr 23, lyso 4, cyto 2, pero 2, cyto_pero 2",0.183,P25942
ENSP00000361405,ENSG00000100985,ENST00000372330,0.916,0.944,PredHel=0,0.671771,"extr 19, lyso 8, golg 2",0.457,P14780
ENSP00000361437,ENSG00000126091,ENST00000372362,0.212,0.983,PredHel=1,0.727947,"extr 27, lyso 3",0.965,Q11203
ENSP00000361440,ENSG00000126091,ENST00000372365,0.212,0.983,PredHel=1,0.597944,extr 29,0.957,Q11203
ENSP00000361441,ENSG00000126091,ENST00000372366,0.22,0.978,PredHel=1,0.630903,extr 29,0.919,Q11203
ENSP00000361442,ENSG00000126091,ENST00000372367,0.22,0.978,PredHel=1,0.606385,extr 29,0.951,Q11203
ENSP00000361662,ENSG00000044012,ENST00000372581,0.89,0.956,PredHel=1,0.0598276,extr 29,0.939,Q16661
ENSP00000361755,ENSG00000243543,ENST00000372670,0.59,0.935,PredHel=0,0.562068,extr 31,0.931,Q9BQY6
ENSP00000361761,ENSG00000101443,ENST00000372676,0.882,0.976,PredHel=1,0.168147,extr 32,0.956,Q14508
ENSP00000361818,ENSG00000124145,ENST00000372733,0.873,0.941,PredHel=1,0.0659385,"extr 14, E.R. 12, plas 2, pero 2",0.39,P31431
ENSP00000361834,ENSG00000049089,ENST00000372748,0.825,0.931,PredHel=0,0.566793,"extr 16, E.R. 11, golg 3",0.104,Q14055
ENSP00000361840,ENSG00000124159,ENST00000372754,0.813,0.968,PredHel=0,0.988801,"extr 28, cyto 1, pero 1, lyso 1, golg 1, cyto",0.701,O95460
ENSP00000361842,ENSG00000124159,ENST00000372756,0.813,0.968,PredHel=0,0.988689,"extr 28, cyto 1, pero 1, lyso 1, golg 1, cyto",0.737,O95460
ENSP00000361855,ENSG00000124157,ENST00000372769,0.83,0.912,PredHel=0,0.117993,"extr 25, E.R. 4",0.577,Q02383
